########################################################################################
Starting Measurement Run at 08/10/2020 16:58:21
CSV file: pcb-full.csv
PARTNAME;NETNAME;PAD-ID;PAD-NAME;TRANSFORMED-X;TRANSFORMED-Y;MEASUREMENT-RESULT
BETA;BANK13_01_N;89;90;56.7783;45.4168;278 2B4 1EC 1E8 0E1 066
BETA;BANK13_01_N;89;90;56.7783;45.4168;277 2B4 1ED 1E5 102 074
BETA;BANK13_01_N;89;90;56.7783;45.4168;277 2B3 1ED 1E8 101 04D
BETA;BANK13_01_N;89;90;56.7783;45.4168;278 2B4 1ED 1E8 0EA 06D
BETA;BANK13_01_N;89;90;56.7783;45.4168;278 2B5 1EE 1E9 0F4 05A
BETA;BANK13_01_N;89;90;56.7783;45.4168;277 2B4 1E9 1E7 0FD 064
BETA;BANK13_01_N;89;90;56.7783;45.4168;277 2B4 1F3 1E8 0F0 061
BETA;BANK13_02_P;90;91;52.4031;44.5257;277 2B4 1EA 1E9 0F0 05F
BETA;BANK13_02_P;90;91;52.4031;44.5257;276 2B4 1ED 1E7 0F1 06A
BETA;BANK13_02_P;90;91;52.4031;44.5257;278 2B4 1EF 1E8 0E8 075
BETA;BANK13_02_P;90;91;52.4031;44.5257;278 2B4 1ED 1E8 100 06E
BETA;BANK13_02_P;90;91;52.4031;44.5257;277 2B4 1F2 1E8 0E5 069
BETA;BANK13_02_P;90;91;52.4031;44.5257;276 2B4 1ED 1E9 0E9 03D
BETA;BANK13_02_P;90;91;52.4031;44.5257;277 2B3 1ED 1E8 0EF 06F
BETA;BANK13_02_P;90;91;52.4031;44.5257;277 2B4 1EB 1E8 0E4 04E
BETA;BANK13_02_P;90;91;52.4031;44.5257;278 2B4 1ED 1E6 0F6 04C
BETA;BANK13_02_P;90;91;52.4031;44.5257;276 2B4 1EB 1DF 0F5 065
BETA;BANK13_02_P;90;91;52.4031;44.5257;277 2B4 1EB 1E1 0E8 072
BETA;BANK13_02_P;90;91;52.4031;44.5257;278 2B4 1EE 1E8 110 061
BETA;BANK13_02_P;90;91;52.4031;44.5257;278 2B4 1ED 1EF 0E3 069
BETA;BANK13_02_P;90;91;52.4031;44.5257;277 2B4 1EF 1E8 0E6 065
BETA;BANK13_02_P;90;91;52.4031;44.5257;277 2B3 1F4 1E8 0EB 071
BETA;BANK13_02_P;90;91;52.4031;44.5257;278 2B4 1ED 1E8 0F1 071
BETA;BANK13_03_P;91;92;56.7971;44.6171;278 2B4 1ED 1E5 0ED 070
BETA;BANK13_03_P;91;92;56.7971;44.6171;277 2B4 1ED 1EB 0F3 078
BETA;BANK13_03_P;91;92;56.7971;44.6171;277 2B2 1ED 1EA 0EC 05A
BETA;BANK13_03_P;91;92;56.7971;44.6171;277 2B4 1ED 1E8 0F2 07B
BETA;BANK13_03_P;91;92;56.7971;44.6171;277 2B4 1ED 1E8 0FE 060
BETA;BANK13_03_P;91;92;56.7971;44.6171;278 2B3 1EC 1E8 0F5 061
BETA;BANK13_03_P;91;92;56.7971;44.6171;277 2B4 1EC 1E8 0E9 045
BETA;BANK13_03_P;91;92;56.7971;44.6171;278 2B4 1EB 1E8 0DF 074
BETA;BANK13_03_P;91;92;56.7971;44.6171;277 2B3 1DC 1E8 0F1 071
BETA;BANK13_03_P;91;92;56.7971;44.6171;277 2B4 1E8 1E9 0F3 059
BETA;BANK13_03_P;91;92;56.7971;44.6171;277 2B5 1EC 1E8 0E8 07C
BETA;BANK13_03_P;91;92;56.7971;44.6171;277 2B4 1ED 1E5 107 06F
BETA;BANK13_03_P;91;92;56.7971;44.6171;277 2B2 1ED 1E8 0FF 06C
BETA;BANK13_03_P;91;92;56.7971;44.6171;277 2B4 1EC 1E8 114 05D
BETA;BANK13_03_P;91;92;56.7971;44.6171;277 2B4 1E7 1EA 0F9 06A
BETA;BANK13_03_P;91;92;56.7971;44.6171;276 2B4 1EB 1E8 0EA 057
BETA;BANK13_02_N;92;93;52.4219;43.7259;277 2B4 1EB 1E6 0FA 075
BETA;BANK13_02_N;92;93;52.4219;43.7259;278 2B3 1F1 1D1 0E1 075
BETA;BANK13_02_N;92;93;52.4219;43.7259;278 2B3 1EB 1E7 10A 078
BETA;BANK13_02_N;92;93;52.4219;43.7259;278 2B4 1EC 1E8 0FD 06F
BETA;BANK13_02_N;92;93;52.4219;43.7259;277 2B4 1EC 1E8 103 049
BETA;BANK13_02_N;92;93;52.4219;43.7259;277 2B4 1F0 1EA 0FF 061
BETA;BANK13_02_N;92;93;52.4219;43.7259;277 2B4 1ED 1E7 0FB 063
BETA;BANK13_02_N;92;93;52.4219;43.7259;277 2B4 1E3 1EA 0E8 069
BETA;BANK13_02_N;92;93;52.4219;43.7259;277 2B4 1EC 1F3 0F0 06E
BETA;BANK13_02_N;92;93;52.4219;43.7259;278 2B4 1ED 1E6 0E0 06D
BETA;BANK13_02_N;92;93;52.4219;43.7259;277 2B5 1F2 1EB 0F2 06B
BETA;BANK13_02_N;92;93;52.4219;43.7259;278 2B4 1EB 1E3 0FD 049
BETA;BANK13_02_N;92;93;52.4219;43.7259;277 2B4 1EB 1D4 0D6 046
BETA;BANK13_02_N;92;93;52.4219;43.7259;277 2B4 1ED 1E7 106 058
BETA;BANK13_02_N;92;93;52.4219;43.7259;278 2B4 1EC 1E8 0E1 06D
BETA;BANK13_02_N;92;93;52.4219;43.7259;277 2B4 1EC 1E5 0FD 075
BETA;BANK13_03_N;93;94;56.8159;43.8173;279 2B4 1EC 1E6 0F5 070
BETA;BANK13_03_N;93;94;56.8159;43.8173;274 2B4 1EA 1E7 0DA 064
BETA;BANK13_03_N;93;94;56.8159;43.8173;277 2B4 1EB 1DE 0DD 065
BETA;BANK13_03_N;93;94;56.8159;43.8173;277 2B4 1E5 1F1 0E9 058
BETA;BANK13_03_N;93;94;56.8159;43.8173;278 2B4 1E9 1E8 0F3 076
BETA;BANK13_03_N;93;94;56.8159;43.8173;277 2B4 1ED 1E8 0F1 07D
BETA;BANK13_03_N;93;94;56.8159;43.8173;277 2B4 1EA 1EA 0E6 04C
BETA;BANK13_03_N;93;94;56.8159;43.8173;278 2B2 1E8 1E8 0EF 049
BETA;BANK13_03_N;93;94;56.8159;43.8173;277 2B3 1ED 1E4 0F1 05C
BETA;BANK13_03_N;93;94;56.8159;43.8173;278 2B4 1EA 1E6 0FE 064
BETA;BANK13_03_N;93;94;56.8159;43.8173;277 2B4 1ED 1E9 0F1 06C
BETA;BANK13_03_N;93;94;56.8159;43.8173;278 2B4 1EC 1E6 0E3 061
BETA;BANK13_03_N;93;94;56.8159;43.8173;278 2B5 1ED 1E8 0ED 08D
BETA;BANK13_03_N;93;94;56.8159;43.8173;277 2B4 1ED 1E8 0F9 05C
BETA;BANK13_03_N;93;94;56.8159;43.8173;278 2B3 1EC 1EC 0EE 06B
BETA;BANK13_03_N;93;94;56.8159;43.8173;277 2B4 1F0 1EE 0EE 076
BETA;GND;94;95;52.4407;42.9262;276 2B4 000 1E6 000 00A
BETA;GND;94;95;52.4407;42.9262;27B 2B5 000 1E8 000 006
BETA;GND;94;95;52.4407;42.9262;279 2B4 000 1E8 000 000
BETA;GND;94;95;52.4407;42.9262;277 2B4 001 1E8 000 000
BETA;GND;94;95;52.4407;42.9262;278 2B4 000 1E8 000 000
BETA;GND;94;95;52.4407;42.9262;277 2B4 000 1E7 000 000
BETA;GND;94;95;52.4407;42.9262;277 2B4 000 1E7 000 000
BETA;GND;94;95;52.4407;42.9262;277 2B4 000 1E7 000 000
BETA;GND;94;95;52.4407;42.9262;277 2B4 000 1DD 000 000
BETA;GND;94;95;52.4407;42.9262;277 2B4 000 1E8 000 000
BETA;GND;94;95;52.4407;42.9262;277 2B4 000 1E0 000 000
BETA;GND;94;95;52.4407;42.9262;278 2B3 000 1E6 000 000
BETA;GND;94;95;52.4407;42.9262;277 2B4 000 1E7 000 000
BETA;GND;94;95;52.4407;42.9262;277 2B4 000 1E6 000 000
BETA;GND;94;95;52.4407;42.9262;277 2B4 000 1E8 000 000
BETA;GND;94;95;52.4407;42.9262;277 2B4 000 1E8 000 000
BETA;GND;95;96;56.8347;43.0176;277 2B3 000 1E8 000 000
BETA;GND;95;96;56.8347;43.0176;277 2B3 000 1E5 000 000
BETA;GND;95;96;56.8347;43.0176;278 2B4 000 1EB 000 00D
BETA;GND;95;96;56.8347;43.0176;278 2B4 000 1E5 000 000
BETA;GND;95;96;56.8347;43.0176;277 2B4 000 1EB 000 000
BETA;GND;95;96;56.8347;43.0176;279 2B4 000 1E8 000 000
BETA;GND;95;96;56.8347;43.0176;277 2B4 000 1E7 000 000
BETA;GND;95;96;56.8347;43.0176;277 2B4 000 1EF 000 000
BETA;GND;95;96;56.8347;43.0176;278 2B3 000 1E7 000 000
BETA;GND;95;96;56.8347;43.0176;278 2B5 000 1DD 000 000
BETA;GND;95;96;56.8347;43.0176;278 2B4 000 1E7 000 000
BETA;GND;95;96;56.8347;43.0176;278 2B4 000 1E8 000 000
BETA;GND;95;96;56.8347;43.0176;278 2B4 000 1E2 000 000
BETA;GND;95;96;56.8347;43.0176;276 2B4 000 1E8 000 000
BETA;GND;95;96;56.8347;43.0176;278 2B4 000 1E6 000 000
BETA;GND;95;96;56.8347;43.0176;279 2B2 000 1E5 000 000
BETA;;96;97;52.4596;42.1265;278 2B2 1ED 1E4 0ED 058
BETA;;96;97;52.4596;42.1265;277 2B4 1ED 1E8 10B 067
BETA;;96;97;52.4596;42.1265;277 2B4 1E8 1E8 0FD 061
BETA;;96;97;52.4596;42.1265;278 2B2 1E8 1E9 10E 06B
BETA;;96;97;52.4596;42.1265;277 2B4 1EC 1E5 10F 05E
BETA;;96;97;52.4596;42.1265;278 2B3 1E4 1E8 0FF 069
BETA;;96;97;52.4596;42.1265;277 2B4 1ED 1E8 0EA 064
BETA;;96;97;52.4596;42.1265;277 2B4 1ED 1E7 0E6 05C
BETA;;96;97;52.4596;42.1265;278 2B2 1EB 1E8 0E9 04C
BETA;;96;97;52.4596;42.1265;276 2B4 1EB 1E7 0D7 05F
BETA;;96;97;52.4596;42.1265;277 2B4 1EB 1E8 0E9 04F
BETA;;96;97;52.4596;42.1265;277 2B4 1EE 1E7 109 084
BETA;;96;97;52.4596;42.1265;276 2B4 1ED 1E2 105 06A
BETA;;96;97;52.4596;42.1265;277 2B4 1ED 1E8 0F5 060
BETA;;96;97;52.4596;42.1265;278 2B4 1ED 1E8 105 06C
BETA;;96;97;52.4596;42.1265;277 2B3 1ED 1E9 0EB 06E
BETA;;97;98;56.8535;42.2179;276 2B2 1ED 1E8 100 082
BETA;;97;98;56.8535;42.2179;275 2B4 1E9 1E7 0FC 078
BETA;;97;98;56.8535;42.2179;277 2B4 1ED 1E6 0EA 067
BETA;;97;98;56.8535;42.2179;277 2B4 1ED 1DB 0EA 06F
BETA;;97;98;56.8535;42.2179;277 2B4 1ED 1E8 0FA 064
BETA;;97;98;56.8535;42.2179;277 2B4 1E8 1E8 0ED 06C
BETA;;97;98;56.8535;42.2179;276 2B4 1EA 1E8 0F6 066
BETA;;97;98;56.8535;42.2179;277 2B4 1E8 1E8 0F2 071
BETA;;97;98;56.8535;42.2179;278 2B3 1E4 1E7 0FB 065
BETA;;97;98;56.8535;42.2179;277 2B1 1EE 1E8 0F5 05E
BETA;;97;98;56.8535;42.2179;277 2B4 1ED 1EA 0E8 05F
BETA;;97;98;56.8535;42.2179;278 2B3 1EC 1EA 0ED 05B
BETA;;97;98;56.8535;42.2179;277 2B3 1EC 1E8 103 078
BETA;;97;98;56.8535;42.2179;278 2B2 1EC 1E8 0E9 071
BETA;;97;98;56.8535;42.2179;277 2B4 1EA 1E8 0F8 06B
BETA;;97;98;56.8535;42.2179;277 2B4 1EC 1E8 102 075
BETA;;98;99;52.4784;41.3268;276 2B4 1EE 1DC 0FC 06C
BETA;;98;99;52.4784;41.3268;277 2B4 1EC 1E7 0E5 078
BETA;;98;99;52.4784;41.3268;277 2B4 1EB 1E8 0F6 071
BETA;;98;99;52.4784;41.3268;277 2B4 1EB 1E8 0F7 073
BETA;;98;99;52.4784;41.3268;277 2B5 1ED 1ED 0E8 05A
BETA;;98;99;52.4784;41.3268;278 2B4 1ED 1E5 0F8 075
BETA;;98;99;52.4784;41.3268;277 2B4 1EC 1E8 104 062
BETA;;98;99;52.4784;41.3268;277 2B4 1E9 1E6 103 07B
BETA;;98;99;52.4784;41.3268;276 2B4 1ED 1E2 0EB 083
BETA;;98;99;52.4784;41.3268;278 2B4 1ED 1E3 0F3 07B
BETA;;98;99;52.4784;41.3268;277 2B4 1EC 1E3 0E9 081
BETA;;98;99;52.4784;41.3268;277 2B4 1F1 1E7 0F7 06D
BETA;;98;99;52.4784;41.3268;277 2B4 1EC 1F2 0ED 06E
BETA;;98;99;52.4784;41.3268;277 2B2 1F1 1ED 0F8 075
BETA;;98;99;52.4784;41.3268;277 2B4 1E9 1E6 0FA 060
BETA;;98;99;52.4784;41.3268;277 2B4 1EC 1EA 0ED 06E
BETA;;99;100;56.8723;41.4182;277 2B4 1EB 1E3 101 06A
BETA;;99;100;56.8723;41.4182;277 2B4 1EB 1E8 0EA 087
BETA;;99;100;56.8723;41.4182;278 2B4 1F4 1E8 0EC 05A
BETA;;99;100;56.8723;41.4182;278 2B4 1F5 1E7 0EC 07F
BETA;;99;100;56.8723;41.4182;277 2B3 1EB 1E7 0EF 072
BETA;;99;100;56.8723;41.4182;278 2B4 1EB 1E6 0FD 074
BETA;;99;100;56.8723;41.4182;277 2B4 1EA 1E8 10F 061
BETA;;99;100;56.8723;41.4182;277 2B4 1EC 1DB 0F6 072
BETA;;99;100;56.8723;41.4182;277 2B2 1FA 1E7 0F3 05A
BETA;;99;100;56.8723;41.4182;277 2B3 1ED 1EB 0F6 083
BETA;;99;100;56.8723;41.4182;277 2B4 1EA 1E5 101 060
BETA;;99;100;56.8723;41.4182;278 2B4 1EB 1E7 0F5 059
BETA;;99;100;56.8723;41.4182;278 2B4 1ED 1E8 0F4 078
BETA;;99;100;56.8723;41.4182;277 2B3 1E8 1EA 0F3 06D
BETA;;99;100;56.8723;41.4182;278 2B4 1EC 1E8 0F5 06C
BETA;;99;100;56.8723;41.4182;277 2B4 1F1 1F0 0F4 079
